Number,Latitude,Longitude,Name,Type
236,56.602628,-4.868196,Clach Leathad,MOUTAIN
237,56.568102,-4.882115,Stob Ghabhar,MOUTAIN
238,56.538939,-5.049798,Ben Starav,MOUTAIN
239,56.53699,-5.04533,Stob Coire Dheirg (old GR),MOUTAIN
240,56.608642,-4.872434,Mam Coire Easain,MOUTAIN
241,56.554921,-4.97981,Stob Coir' an Albannaich,MOUTAIN
242,56.538722,-5.040686,Stob Coire Dheirg,MOUTAIN
243,56.43007,-5.109884,Drochaid Ghlas,MOUTAIN
244,56.431271,-5.091379,Stob Daimh [Stob Diamh],MOUTAIN
245,56.542434,-5.005236,Glas Bheinn Mhor,MOUTAIN
246,56.623267,-4.870399,Stob a'Ghlais Choire,MOUTAIN
247,56.566901,-4.87346,Aonach Eagach,MOUTAIN
248,56.569067,-4.89707,Sron a'Ghearrain,MOUTAIN
249,56.450352,-5.026639,Beinn Eunaich,MOUTAIN
250,56.425885,-5.089644,Stob Garbh,MOUTAIN
251,56.44979,-5.068536,Beinn a'Chochuill,MOUTAIN
252,746188,56.574154,Sron nan Giubhas,MOUTAIN
253,56.43409,-5.084307,Sron An Isean,MOUTAIN
254,56.520221,-5.011233,Beinn nan Aighenan,MOUTAIN
255,56.573308,-4.838302,Stob a'Choire Odhair,MOUTAIN
256,56.571503,-4.917431,Stob a'Bhruaich Leith,MOUTAIN
257,56.528722,-5.043446,Meall Cruidh,MOUTAIN
258,56.561177,-4.942893,Meall nan Eun,MOUTAIN
259,56.523492,-5.050329,Stob an Duine Ruaidh,MOUTAIN
260,56.418682,-5.130914,Meall Cuanail,MOUTAIN
261,56.434316,-5.153251,Meall nan Each,MOUTAIN
262,56.408911,-5.09044,Beinn a'Bhuiridh,MOUTAIN
263,56.595405,-4.988114,Stob Dubh,MOUTAIN
264,750228,56.610061,Beinn Mhic Chasgaig,MOUTAIN
265,56.458886,-4.791931,Beinn Udlaidh,MOUTAIN
266,56.466716,-4.756524,Beinn Bhreac-liath,MOUTAIN
267,735013,56.473069,Beinn Mhic-Mhonaidh,MOUTAIN
268,56.492998,-5.037967,Beinn nan Lus,MOUTAIN
269,56.486703,-4.976877,Meall Garbh,MOUTAIN
270,56.518386,-4.90837,Beinn Suidhe,MOUTAIN
271,56.497742,-4.843068,Meall Tairbh,MOUTAIN
272,56.442585,-4.923232,Beinn Donachain,MOUTAIN
273,56.504002,-4.810493,Ben Inverveigh,MOUTAIN
274,56.419573,-4.864735,Beinn na Sroine,MOUTAIN
275,56.494944,-4.953245,Meall Buidhe,MOUTAIN
276,56.494071,-4.897651,Beinn a'Chuirn,MOUTAIN
277,56.585271,-4.764582,Meall Mor,MOUTAIN
278,56.796849,-5.003525,Ben Nevis,MOUTAIN
279,56.799998,-4.954121,Aonach Beag,MOUTAIN
280,56.802212,-5.015979,Carn Dearg (NW) [Carn Dearg (North)],MOUTAIN
281,56.812932,-4.961744,Aonach Mor,MOUTAIN
282,56.805246,-4.986616,Carn Mor Dearg,MOUTAIN
283,56.803829,-5.018427,Carn Dearg NW Top (old GR),MOUTAIN
284,56.809797,-4.989501,Carn Dearg Meadhonach,MOUTAIN
285,56.823786,-4.849624,Stob Choire Claurigh,MOUTAIN
286,56.826673,-4.849775,Stob Choire Claurigh North Top,MOUTAIN
287,56.754358,-4.925795,Binnein Mor,MOUTAIN
288,56.830383,-4.840551,Stob Coire na Ceannain,MOUTAIN
289,56.810877,-4.884891,Stob Coire an Laoigh,MOUTAIN
290,56.818181,-4.773709,Stob Coire Easain,MOUTAIN
291,56.814777,-4.874047,Caisteal,MOUTAIN
292,56.823684,-4.760199,Stob a'Choire Mheadhoin,MOUTAIN
293,56.821662,-4.858003,Stob a'Choire Leith,MOUTAIN
294,56.794785,-4.945629,Stob Choire Bhealach,MOUTAIN
295,56.75592,-5.003674,Sgurr a'Mhaim,MOUTAIN
296,56.800431,-4.903943,Sgurr Choinnich Mor,MOUTAIN
297,56.812523,-4.893359,Stob Coire Easain,MOUTAIN
298,56.816014,-4.8648,Stob Coire Cath na Sine,MOUTAIN
299,56.81464,-4.945375,Stob an Chul Choire [Stob an Cul Choire],MOUTAIN
300,56.747581,-4.927207,Binnein Mor South Top,MOUTAIN
301,56.743687,-4.939875,Na Gruagaichean,MOUTAIN
302,56.745763,-4.943342,Na Gruagaichean NW Top [North Top],MOUTAIN
303,56.741727,-4.983393,Am Bodach,MOUTAIN
304,56.785879,-5.020792,Carn Dearg (SW) [Carn Dearg (South)],MOUTAIN
305,56.750024,-4.895453,Sgurr Eilde Mor,MOUTAIN
306,56.819293,-4.891357,Beinn na Socaich,MOUTAIN
307,56.817799,-4.998244,Carn Beag Dearg,MOUTAIN
308,56.745012,-5.00191,Sgor an Iubhair,MOUTAIN
309,56.743697,-5.030343,Stob Ban,MOUTAIN
310,56.749336,-5.005357,Stob Choire a'Mhail,MOUTAIN
311,56.819361,-4.936928,Stob Coire an Fhir Dhuibh,MOUTAIN
312,56.759143,-4.966203,An Gearanach,MOUTAIN
313,56.750744,-4.969025,Stob Coire a'Chairn,MOUTAIN
314,56.810647,-4.840876,Stob Ban,MOUTAIN
315,56.755396,-4.96513,An Garbhanach,MOUTAIN
316,56.788311,-4.941672,Sgurr a'Bhuic,MOUTAIN
317,56.796694,-4.916153,Sgurr Choinnich Beag,MOUTAIN
