Number,Name,Latitude,Longitude
278,Ben Nevis,56.796849,-5.003525
279,Aonach Beag,56.799998,-4.954121
280,Carn Dearg (NW) [Carn Dearg (North)],56.802212,-5.015979
281,Aonach Mor,56.812932,-4.961744
282,Carn Mor Dearg,56.805246,-4.986616
283,Carn Dearg NW Top (old GR),56.803829,-5.018427
284,Carn Dearg Meadhonach,56.809797,-4.989501
285,Stob Choire Claurigh,56.823786,-4.849624
286,Stob Choire Claurigh North Top,56.826673,-4.849775
287,Binnein Mor,56.754358,-4.925795
288,Stob Coire na Ceannain,56.830383,-4.840551
289,Stob Coire an Laoigh,56.810877,-4.884891
290,Stob Coire Easain,56.818181,-4.773709
291,Caisteal,56.814777,-4.874047
292,Stob a'Choire Mheadhoin,56.823684,-4.760199
293,Stob a'Choire Leith,56.821662,-4.858003
294,Stob Choire Bhealach,56.794785,-4.945629
295,Sgurr a'Mhaim,56.75592,-5.003674
296,Sgurr Choinnich Mor,56.800431,-4.903943
297,Stob Coire Easain,56.812523,-4.893359
298,Stob Coire Cath na Sine,56.816014,-4.8648
299,Stob an Chul Choire [Stob an Cul Choire],56.81464,-4.945375
300,Binnein Mor South Top,56.747581,-4.927207
301,Na Gruagaichean,56.743687,-4.939875
302,Na Gruagaichean NW Top [North Top],56.745763,-4.943342
303,Am Bodach,56.741727,-4.983393
304,Carn Dearg (SW) [Carn Dearg (South)],56.785879,-5.020792
305,Sgurr Eilde Mor,56.750024,-4.895453
306,Beinn na Socaich,56.819293,-4.891357
307,Carn Beag Dearg,56.817799,-4.998244
308,Sgor an Iubhair,56.745012,-5.00191
309,Stob Ban,56.743697,-5.030343
310,Stob Choire a'Mhail,56.749336,-5.005357
311,Stob Coire an Fhir Dhuibh,56.819361,-4.936928
312,An Gearanach,56.759143,-4.966203
313,Stob Coire a'Chairn,56.750744,-4.969025
314,Stob Ban,56.810647,-4.840876
315,An Garbhanach,56.755396,-4.96513
316,Sgurr a'Bhuic,56.788311,-4.941672
317,Sgurr Choinnich Beag,56.796694,-4.916153
318,Stob Coire na Gaibhre [Stob Coire Gaibhre],56.84023,-4.852564
319,Sgor Eilde Beag,56.74522,-4.912907
320,Binnein Beag,56.76699,-4.911065
321,Mullach nan Coirean,56.749867,-5.072381
322,Tom na Sroine,56.827434,-4.938757
323,Mullach nan Coirean SE Top [South Top],56.743308,-5.057286
324,Mullach nan Coirean East Top,56.74468,-5.047517
325,Meall a'Chaorainn,56.745006,-5.083959
326,Stob Coire a'Chairn South Top,56.747106,-4.975421
327,Leum Uilleim,56.738929,-4.730754
328,Cruach Innse,56.84684,-4.821936
329,Sgurr Innse,56.833314,-4.80398
330,Mam na Gualainn,56.716426,-5.081585
331,Glas Bheinn,56.736083,-4.847886
332,Cnap Cruinn,56.85768,-4.785132
333,Meall Mor,56.794678,-4.816982
334,Meall an t-Suidhe,56.81025,-5.050078
